rank,account,segment,grafana_evidence,ai_evidence,evidence_need,score_100,confidence,buyer_titles,paid_entry_offer,next_action,grafana_source,ai_source
1,ComplyAdvantage,financial-crime technology,"Grafana Cloud, OpenTelemetry, 6B spans/day, 41 Kubernetes clusters","Public 2026 material discusses agentic and predictive AI in customer screening, onboarding, KYC, and risk profiles","AML decisions must remain reviewable and defensible",94,high,"Principal SRE; VP Platform; Global Head of FCC Strategy; AI Product Lead","$4,500 Evidence Readiness Sprint","Send a technical note referencing its existing OTEL gateways and propose one sanitized screening trace",https://grafana.com/blog/how-complyadvantage-built-a-more-flexible-observability-strategy-with-opentelemetry-and-grafana-cloud/,https://complyadvantage.com/insights/what-ai-cant-do-in-financial-crime-compliance/
2,Pleo,spend management,"Named in Grafana customer success directory","Policy Agent is live; additional specialized finance agents and MCP are publicly planned for 2026","Policy enforcement, expense flags, approvals, and autonomous finance actions need historical policy and source evidence",92,high,"Chief Product and Technology Officer; VP AI; Head of Platform; Head of Risk","$4,500 Evidence Readiness Sprint","Lead with reconstructing one Policy Agent decision from its existing telemetry",https://grafana.com/success/,https://blog.pleo.io/en/ai-at-pleo
3,Mambu,cloud banking platform,"Named in Grafana customer success directory","Mambu MCP is available and connects agents to core banking workflows including onboarding, account opening, transactions, reconciliation, and reporting","Agent actions touching banking records require provenance, controls, and reconstructable decisions",91,high,"CTO; VP Product; Head of AI; Platform Engineering Director; Risk and Compliance Lead","$4,500 Evidence Readiness Sprint","Outreach sent through published business address; follow up July 31",https://grafana.com/success/,https://mambu.com/en/insights/articles/powering-agentic-banking
4,Wise,payments and financial crime,"Named in Grafana customer success directory","Wise reports extensive AI/ML use in financial-crime prevention, risk, document processing, and model copilots","Fraud interventions and financial-crime decisions create audit and dispute requirements",87,high,"Director of AI/ML; Financial Crime Product Lead; Platform Observability Lead; Model Risk","$5,000 Evidence Readiness Sprint","Offer a sanitized financial-crime model/agent evidence reconstruction",https://grafana.com/success/,https://wise.com/gb/blog/preventing-and-combating-financial-crime-at-wise
5,DriveWealth,brokerage infrastructure,"Public Grafana event on scaling observability at DriveWealth","API-based regulated brokerage supports automated trading and robo-advisory workflows","Automated trades and account decisions require exact inputs, rules, permissions, and downstream impact",82,medium,"VP Platform; Head of SRE; Chief Compliance Officer; Brokerage Product Lead","$5,000 Evidence Readiness Sprint","Transparent routing request sent through published company address; follow up July 31",https://grafana.com/events/obsessions/nyc/lessons-learned-scaling-observability-at-blackrock-drivewealth/,https://developer.drivewealth.com/apis/docs/automated-trading
6,FalconX,institutional markets,"Named in Grafana customer success directory","Operates institutional 24/7 trading, execution, settlement, and risk infrastructure; direct public evidence of production AI decisioning remains unverified","Trading and risk systems have strong reconstruction needs, but AI workflow must be qualified",68,medium,"Head of Platform; Observability Lead; Head of Risk Engineering","$5,000 Evidence Readiness Sprint","Discovery only: verify a production AI or agent workflow before pitching",https://grafana.com/success/,https://www.falconx.io/newsroom/falconx-executes-first-otc-compute-forward-trade
2,Neonomics,open-banking and payments,"Named in Grafana customer success directory","Nello AI is designed for autonomous financial decisioning and payment execution through regulated Open Banking APIs and MCP tooling","Decisions combine time-bound consent, financial data, policies, API calls, and regulated payment actions",93,high,"CEO; Nello AI Product Lead; CTO; Platform Lead","$4,500 Evidence Readiness Sprint","Email sent to publicly listed CEO address; follow up July 31",https://grafana.com/success/,https://www.neonomics.io/nello-ai
3,PayIt,digital government and payments,"Named in Grafana customer success directory","Smart Guide provides AI-powered government service discovery; PayIt also says AI streamlines workflows, reviews applications, and automates reconciliation","Government, identity-sensitive, approval, and payment workflows require reconstructable evidence",90,high,"Chief Technology Officer; Smart Guide Product Lead; Platform Engineering; Security and Compliance","$4,500 Evidence Readiness Sprint","Routing request sent through published communications contact; follow up July 31",https://grafana.com/success/,https://payitgov.com/news/payit-adds-ai-powered-discovery-capabilities-to-digital-government-platform/
4,7AI,agentic security operations,"Grafana Labs publicly states that 7AI is standardizing on Grafana Cloud","Agents detect, investigate, respond, and hunt across security sources with humans on the loop; 7AI launched a Technology Alliance Partner track with integration validation and joint GTM","Security conclusions and response actions need exact source, tool, policy, and approval evidence",97,high,"Global Alliances; Technology Alliance Owner; Chief Product Officer; VP Platform","$5,000 Evidence Readiness Sprint","Alliance proposal sent to official partner-program address; requested Select TAP validation and a joint paid customer sprint; follow up July 31",https://grafana.com/press/2026/06/18/ai-and-next-gen-technology-companies-choose-grafana-cloud-to-bring-intelligence-to-their-own-infrastructure/,https://7ai.com/partners
5,ASAPP,agentic customer service,"Named in Grafana customer success directory","ASAPP provides generative and agentic AI for customer-service recommendations, summaries, and automated resolutions","Customer actions depend on changing records, knowledge, policies, integrations, and human handoffs",89,high,"Chief Product Officer; AI Platform Lead; VP Engineering; Trust and Governance","$4,500 Evidence Readiness Sprint","Published solutions address bounced; use official demo form or a verified product owner next",https://grafana.com/success/,https://www.asapp.com/blog/automation-should-help-resolve-not-deflect
6,Theia Scientific,scientific AI and microscopy,"Named in Grafana customer success directory","Theiascope systems run real-time and post-acquisition AI/ML image analysis and quantitation","Scientific reproducibility requires exact source images, model context, parameters, software state, and downstream dependencies",86,high,"Co-Founder; Head of Product Development; Scientific Platform Lead; QA/QC Lead","$4,500 Evidence Readiness Sprint","Email sent directly to published co-founder/product contact; follow up July 31",https://grafana.com/success/,https://www.theiascientific.com/packages/
7,Exabeam,agentic security operations,"Named in Grafana customer success directory","Exabeam Nova agents score threats, interpret events, retrieve context, guide investigations, and support response; its materials emphasize governance and evidence of agent oversight","Security cases require point-in-time reconstruction of intelligence, context, policy, tool use, and human action",92,high,"Nova Product Lead; AI Platform Lead; Chief Product Officer; AI Governance","$5,000 Evidence Readiness Sprint","Email sent to published general-business address; follow up July 31",https://grafana.com/success/,https://www.exabeam.com/wp-content/uploads/WHITEPAPER-A-Security-Operations-Leaders-Guide-to-New-Efficiencies.pdf
8,Hona,legal AI and client operations,"Named in Grafana customer success directory","Hona's AI receptionist and case manager qualify leads, conduct outreach, track appointments, update case workflows, and escalate to people","Legal-client actions depend on changing case records, messages, permissions, workflows, and CRM/CMS integrations",91,high,"Director of AI; Director of Product; CTO; VP Engineering","$4,500 Evidence Readiness Sprint","Transparent routing request sent through the only published email on Hona's contact page; follow up July 31",https://grafana.com/success/,https://www.hona.com/about
2,Harrison.ai,clinical imaging AI,"Grafana Labs publicly identifies Harrison.ai as a Grafana Cloud customer running production AI","Clinical AI prioritizes imaging worklists, detects findings, and supports radiology decisions across more than 1,000 sites","Clinical decisions require point-in-time linkage among source studies, model versions, findings, human review, and downstream care workflows",96,high,"Clinical AI Platform Lead; Quality and Regulatory Lead; VP Product; Platform Engineering","$4,500 Evidence Readiness Sprint","Official general-enquiry form confirmed receipt; follow up July 31 if a reply route is provided",https://grafana.com/press/2026/06/18/ai-and-next-gen-technology-companies-choose-grafana-cloud-to-bring-intelligence-to-their-own-infrastructure/,https://harrison.ai/radiology-solutions/
