priority,target,article_url,contact_route,angle,status,follow_up_days
1,Particula,https://particula.tech/blog/agent-memory-frameworks-tested-mem0-zep-letta-cognee-2026,sebastian@particula.tech,"Offer the executable adapter, point-in-time test, and lookahead receipts for independent rerun",followed_up_once_2026-08-09,none
2,Vectorize,https://vectorize.io/articles/best-ai-agent-memory-systems,contact@vectorize.io,"Lead with the bitemporal model, public methods, and exact limitations",followed_up_once_2026-08-09,none
3,Atlan,https://atlan.com/know/best-ai-agent-memory-frameworks-2026/,article author or editorial contact,"Add historical reconstruction and audit evidence as comparison axes for enterprise readers",ready_after_launch,7
4,Developers Digest,https://developersdigest.tech/blog/best-ai-agent-memory-providers-2026,developer.digest.ai@gmail.com,"Offer a self-hosted regulated-memory lane and a reproducible benchmark artifact",pitched_2026-08-09,7
5,Powerdrill,https://powerdrill.ai/blog/best-ai-agent-memory-solutions,article author or editorial contact,"Offer the keys-free lookahead demo and the comparison harness for retesting",ready_after_launch,7
6,MCP.Directory,https://mcp.directory/blog/mem0-vs-letta-vs-zep-2026,directory contact,"Connect the official MCP Registry listing with point-in-time recall and a three-tool profile",ready_after_launch,7
7,Rohit Raj,https://rohitraj.tech/en/notes/open-source-ai-agent-memory-mem0-vs-zep-letta-2026,author contact,"Lead with Apache 2.0, self-hosted operation, and public evidence artifacts",ready_after_launch,7
8,XLR8,https://tryxlr8.ai/blogs/best-open-source-ai-memory-frameworks-2026,site contact,"Offer Lians as a bitemporal open-source system with explicit claim boundaries",ready_after_launch,7
9,TECHSY,https://techsy.io/en/blog/best-ai-agent-memory-tools,site editorial contact,"Offer a distinct historical-reconstruction category and a reproducible demo",ready_after_launch,7
10,dev.to agdex_ai,https://dev.to/agdex_ai/ai-agent-memory-in-2026-mem0-vs-zep-vs-letta-vs-cognee-a-practical-guide-cfa,DEV Community profile,"Provide a runnable code section showing a late revision and recall_at",ready_after_launch,7
11,dev.to thedailyagent,https://dev.to/thedailyagent/top-6-ai-agent-memory-frameworks-for-devs-2026-1fef,DEV Community profile,"Provide a compact install, one test, and limitations rather than requesting placement",ready_after_launch,7
