sent_at_et,account,recipient,subject,gmail_message_id,gmail_thread_id,status,next_follow_up,notes
2026-07-27,Pleo,partners@pleo.io,Making Pleo Agent decisions reconstructable through Grafana,19fa467355a3859d,19fa467355a3859d,sent,2026-07-31,"Published partnerships address; requested routing to AI product or platform owner"
2026-07-27,ComplyAdvantage,contact@complyadvantage.com,Re: Point-in-time evidence for AML screening decisions,19fa46769d3ccb10,19f787ca8d22ef9b,sent,2026-07-31,"Follow-up to July 18 outreach; replaced free design-partnership framing with $4,500 paid sprint"
2026-07-27,Neonomics,christoffer.andvig@neonomics.io,Decision evidence for Nello AI through your Grafana stack,19fa46a3786e4abb,19fa46a3786e4abb,sent,2026-07-31,"Publicly listed CEO business address; personalized to Nello AI autonomous financial decisioning and payments"
2026-07-27,PayIt,cschwartzkopf@payitgov.com,Evidence trail for PayIt’s AI-powered government workflows,19fa46bc6efe4a31,19fa46bc6efe4a31,sent,2026-07-31,"Published company communications contact; transparently requested routing to Smart Guide product or engineering owner"
2026-07-27,7AI,justin@r1communications.com,Routing request: evidence controls for 7AI’s security agents,19fa46befc32065f,19fa46befc32065f,bounced,,"Domain did not resolve; do not retry this address"
2026-07-27,Neonomics,amunoz@neonomics.io,Referred by Christoffer Andvig: decision evidence for Nello AI,19fa46c9747e338b,19fa46c9747e338b,sent,2026-07-31,"Direct referral from former CEO auto-reply; requested meeting or routing to Nello AI owner"
2026-07-27,ASAPP,solutions@asapp.com,Reconstructable evidence for agentic customer-service decisions,19fa46cf9830757d,19fa46cf9830757d,bounced,,"Published solutions address rejected the message permanently; do not retry this address"
2026-07-27,Theia Scientific,chris.field@theiascientific.com,Reproducible evidence for Theiascope AI analysis,19fa46db810f6dc5,19fa46db810f6dc5,sent,2026-07-31,"Published co-founder/product contact; personalized to reproducible scientific AI analysis"
2026-07-27,Exabeam,info@exabeam.com,Decision evidence behind Exabeam Nova agent actions,19fa46e67d67fb3e,19fa46e67d67fb3e,sent,2026-07-31,"Published general-business address; requested routing to Nova agent or AI-governance owner"
2026-07-27,Hona,support@hona.com,Routing request: evidence behind Hona AI case actions,19fa46ea7e41415a,19fa46ea7e41415a,sent,2026-07-31,"Only published email route on official contact page; transparently requested one forward to named AI or product owner"
2026-07-27,Grafana Labs,"sofia.neroda@grafana.com; logan.smith@grafana.com; plugins-marketplace@grafana.com",Re: Grafana Marketplace founding partner interest from Lians,19fa472ceef1b2c6,19f8028c723af4e6,bounced,,"Google blocked the ZIP archive; this message did not reach recipients"
2026-07-27,Grafana Labs,"sofia.neroda@grafana.com; logan.smith@grafana.com; plugins-marketplace@grafana.com",Re: Grafana Marketplace founding partner interest from Lians,19fa473578619a19,19f8028c723af4e6,warm-follow-up,2026-07-30,"Successfully resent without attachment; requested preferred secure package path, Commercial plugin steps, and 1-2 customer introductions"
2026-07-27,Grafana Labs,"sofia.neroda@grafana.com; logan.smith@grafana.com; plugins-marketplace@grafana.com",Re: Grafana Marketplace founding partner interest from Lians,19fa474ec91a7a9a,19f8028c723af4e6,source-delivered,2026-07-30,"Sent public dedicated review-branch link; stated backend tests and plugin build pass"
2026-07-27,7AI,Partners@sevenai.com,Technology alliance: defensible evidence for 7AI agent actions,19fa47633f0412ac,19fa47633f0412ac,alliance-outreach,2026-07-31,"Official Global Alliances address published for new partner program; proposed Select TAP validation and one joint paid customer sprint"
