account,segment,public_grafana_signal,lians_fit_hypothesis,status,next_step
DriveWealth,brokerage,Grafana success-story directory,AI-supported trading or risk decisions may require historical evidence,research,verify current AI and OTEL use
FalconX,digital asset finance,Grafana success-story directory,Trading and risk workflows have strong reconstruction requirements,research,verify current AI and OTEL use
BlackRock,asset management,Grafana success-story directory,Research and investment workflows may require model-risk evidence,research,identify appropriate technical champion
Standard Chartered Bank,banking,Grafana success-story directory,Regulated AI decisions may require audit and policy reconstruction,research,verify current AI and OTEL use
Wells Fargo,banking,Grafana success-story directory,Model-risk and audit requirements align with decision evidence,research,verify current AI and OTEL use
JPMorgan Chase,banking,Grafana success-story directory,Consequential AI and model governance may fit the evidence layer,research,identify public AI observability signal
Citi,banking,Grafana success-story directory,Regulated decisions may require historical source and policy state,research,verify current AI and OTEL use
Wise,payments,Grafana success-story directory,Fraud and financial-crime workflows may need reconstructable agent evidence,research,verify current AI and OTEL use
Mambu,banking platform,Grafana success-story directory,Customers building AI into regulated banking infrastructure may need evidence controls,research,identify platform or observability lead
ComplyAdvantage,financial crime,Grafana success-story directory,AI-supported AML investigations are consequential and evidence-heavy,research,verify current AI agent deployment
LexisNexis,legal and risk,Grafana success-story directory,Investigation and risk products align with provenance and decision reconstruction,research,verify current AI and OTEL use
Prudential Services Singapore,insurance,Grafana success-story directory,Underwriting or claims automation may require evidence reconstruction,research,verify current AI and OTEL use
