decision_time,ticker,retrieved_note,note_event_time,days_in_future,position_taken,next_day_return
2026-01-05T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,9.6,-1,-0.009883
2026-01-05T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,164.6,-1,-0.009883
2026-01-05T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,165.7,-1,-0.009883
2026-01-05T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,10.7,-1,-0.009883
2026-01-05T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,80.6,1,-0.006704
2026-01-05T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,11.7,1,-0.006704
2026-01-05T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,94.6,1,0.000176
2026-01-05T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,10.7,1,0.000176
2026-01-05T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,101.6,0,0.014263
2026-01-05T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,126.7,0,0.014263
2026-01-05T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,111.6,0,0.015837
2026-01-05T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,130.7,0,0.015837
2026-01-05T21:00:00+00:00,VYTR,VYTR cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-12T12:00:00,6.6,-1,-0.005579
2026-01-05T21:00:00+00:00,VYTR,Sell-side downgrades VYTR to Underweight after the January news; price targets cut across the street.,2026-01-13T13:30:00,7.7,-1,-0.005579
2026-01-05T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,140.7,-1,-0.005579
2026-01-06T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,8.6,-1,0.017496
2026-01-06T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,163.6,-1,0.017496
2026-01-06T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,164.7,-1,0.017496
