week_start,weekly_activation_target,cumulative_activation_target,channel,campaign,qualified_visitors,install_starts,connected_clients,activated_users,day_7_active,day_30_active,pro_conversions,team_pilots,spend_usd,notes
2026-08-18,10,10,,,,,,,,,,,,
2026-08-24,15,25,,,,,,,,,,,,
2026-08-31,20,45,,,,,,,,,,,,
2026-09-07,25,70,,,,,,,,,,,,
2026-09-14,25,95,,,,,,,,,,,,
2026-09-21,30,125,,,,,,,,,,,,
2026-09-28,35,160,,,,,,,,,,,,
2026-10-05,40,200,,,,,,,,,,,,
2026-10-12,45,245,,,,,,,,,,,,
2026-10-19,40,285,,,,,,,,,,,,
2026-10-26,40,325,,,,,,,,,,,,
2026-11-02,55,380,,,,,,,,,,,,
2026-11-09,60,440,,,,,,,,,,,,
2026-11-16,60,500,,,,,,,,,,,,
2026-11-23,60,560,,,,,,,,,,,,
2026-11-30,65,625,,,,,,,,,,,,
2026-12-07,80,705,,,,,,,,,,,,
2026-12-14,90,795,,,,,,,,,,,,
2026-12-21,95,890,,,,,,,,,,,,
2026-12-28,110,1000,,,,,,,,,,,,
